Loaded 7,473 train + 1,319 test = 8,792 total rows
Processing shard [7920:8792] → 872 rows

Loading model: Qwen/Qwen2.5-7B-Instruct
Model loaded.

── Building gsm8k_trees_7920_8792.csv ──
  [1/872] Generating subquestions (3 steps)...
  [2/872] Generating subquestions (5 steps)...
  [3/872] Generating subquestions (3 steps)...
  [4/872] Generating subquestions (2 steps)...
  [5/872] Generating subquestions (3 steps)...
  [6/872] Generating subquestions (4 steps)...
  [7/872] Generating subquestions (4 steps)...
  [8/872] Generating subquestions (2 steps)...
  [9/872] Generating subquestions (4 steps)...
  [10/872] Generating subquestions (4 steps)...
  [11/872] Generating subquestions (3 steps)...
  [12/872] Generating subquestions (2 steps)...
  [13/872] Generating subquestions (6 steps)...
  [14/872] Generating subquestions (4 steps)...
  [15/872] Generating subquestions (3 steps)...
  [16/872] Generating subquestions (2 steps)...
  [17/872] Generating subquestions (2 steps)...
  [18/872] Generating subquestions (4 steps)...
  [19/872] Generating subquestions (5 steps)...
  [20/872] Generating subquestions (6 steps)...
  [21/872] Generating subquestions (4 steps)...
  [22/872] Generating subquestions (5 steps)...
  [23/872] Generating subquestions (2 steps)...
  [24/872] Generating subquestions (4 steps)...
  [25/872] Generating subquestions (4 steps)...
  [26/872] Generating subquestions (2 steps)...
  [27/872] Generating subquestions (2 steps)...
  [29/872] Generating subquestions (2 steps)...
  [30/872] Generating subquestions (2 steps)...
  [31/872] Generating subquestions (2 steps)...
  [32/872] Generating subquestions (3 steps)...
  [33/872] Generating subquestions (5 steps)...
  [34/872] Generating subquestions (3 steps)...
  [35/872] Generating subquestions (2 steps)...
  [37/872] Generating subquestions (4 steps)...
  [38/872] Generating subquestions (2 steps)...
  [39/872] Generating subquestions (2 steps)...
  [40/872] Generating subquestions (2 steps)...
  [41/872] Generating subquestions (4 steps)...
  [42/872] Generating subquestions (2 steps)...
  [43/872] Generating subquestions (2 steps)...
  [44/872] Generating subquestions (2 steps)...
  [45/872] Generating subquestions (2 steps)...
  [46/872] Generating subquestions (2 steps)...
  [47/872] Generating subquestions (2 steps)...
  [48/872] Generating subquestions (3 steps)...
  [49/872] Generating subquestions (2 steps)...
  [50/872] Generating subquestions (2 steps)...
  [51/872] Generating subquestions (3 steps)...
  [52/872] Generating subquestions (4 steps)...
  [54/872] Generating subquestions (5 steps)...
  [56/872] Generating subquestions (3 steps)...
  [57/872] Generating subquestions (4 steps)...
  [58/872] Generating subquestions (3 steps)...
  [59/872] Generating subquestions (4 steps)...
  [60/872] Generating subquestions (3 steps)...
  [61/872] Generating subquestions (3 steps)...
  [62/872] Generating subquestions (3 steps)...
  [63/872] Generating subquestions (3 steps)...
  [64/872] Generating subquestions (3 steps)...
  [66/872] Generating subquestions (2 steps)...
  [67/872] Generating subquestions (4 steps)...
  [69/872] Generating subquestions (4 steps)...
  [70/872] Generating subquestions (2 steps)...
  [71/872] Generating subquestions (2 steps)...
  [72/872] Generating subquestions (6 steps)...
  [74/872] Generating subquestions (2 steps)...
  [75/872] Generating subquestions (4 steps)...
  [76/872] Generating subquestions (3 steps)...
  [77/872] Generating subquestions (3 steps)...
  [78/872] Generating subquestions (3 steps)...
  [79/872] Generating subquestions (2 steps)...
  [80/872] Generating subquestions (6 steps)...
  [81/872] Generating subquestions (3 steps)...
  [82/872] Generating subquestions (6 steps)...
  [83/872] Generating subquestions (2 steps)...
  [84/872] Generating subquestions (6 steps)...
