candidate_id,problem_id,question,prompt,gold_subquestion,raw_candidate,candidate_clean,source_type,generator_label,generator_model,generator_mode,checkpoint_requested,checkpoint_resolved,decoding,max_input_length,max_new_tokens,known_label,teacher_label,teacher_reason,teacher_raw
99faf387502822dbc325,85dd9febbeae52c1,"Martha gets prize points every time she shops at her local grocery store. She gets 50 points per $10 spent, plus a 250 point bonus if she spends more than $100. Martha buys 3 pounds of beef for $11 each, 8 pounds of fruits and vegetables for $4/pound, 3 jars of spices for $6 each, and other groceries totaling $37. How many points does Martha get?","You are given a math word problem and some intermediate reasoning steps that are already solved.
  Your task is to produce exactly one next subquestion that should be asked to continue solving the
  problem. Do not solve the full problem. Do not output anything except the next subquestion.
  Problem: Martha gets prize points every time she shops at her local grocery store. She gets 50 points per $10 spent, plus a 250 point bonus if she spends more than $100. Martha buys 3 pounds of beef for $11 each, 8 pounds of fruits and vegetables for $4/pound, 3 jars of spices for $6 each, and other groceries totaling $37. How many points does Martha get?  Given that we know the answer to the following questions: How many dollars does Martha spend on beef? How many dollars does Martha spend on fruits and vegetables? How many dollars does Martha spend on spices? What is the total amount of money Martha spends on all items?  Next subquestion:",How many points does Martha earn for every dollar spent?,How many points does Martha earn for every dollar spent?,How many points does Martha earn for every dollar spent?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
f27b1f0623b51fcd19f7,81bba85ce1ffb8bf,John has 2 hives of bees.  One of the hives has 1000 bees and produces 500 liters of honey.  The second has 20% fewer bees but each bee produces 40% more honey.  How much honey does he produce?,"You are given a math word problem.
  Your task is to produce the one subquestion you need to answer in order to solve the problem. Do not solve the full problem. Do not output anything except the subquestion.
  Problem: John has 2 hives of bees.  One of the hives has 1000 bees and produces 500 liters of honey.  The second has 20% fewer bees but each bee produces 40% more honey.  How much honey does he produce?  Only subquestion:",How many fewer bees does the second hive have compared to the first hive?,How many fewer bees does the second hive have compared to the first hive?,How many fewer bees does the second hive have compared to the first hive?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
181de24c09309a7bbd88,972d08e158a0d12a,"Making an equal number of drums of paint each day, a paint mixer takes three days to make 18 drums of paint. How many days will it take for him to make 360 drums of paint?","You are given a math word problem.
  Your task is to produce the one subquestion you need to answer in order to solve the problem. Do not solve the full problem. Do not output anything except the subquestion.
  Problem: Making an equal number of drums of paint each day, a paint mixer takes three days to make 18 drums of paint. How many days will it take for him to make 360 drums of paint?  Only subquestion:",How many drums of paint does the paint mixer make each day?,How many drums of paint does the paint mixer make each day?,How many drums of paint does the paint mixer make each day?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
1f0a46f8b962af9fa945,3e9b5249b977cddb,A 1165 cm long rope is cut into 154 pieces. 150 of the pieces are equally sized and the remaining pieces are 100mm each. Find the length of each of the equal pieces in millimeters.,"You are given a math word problem and some intermediate reasoning steps that are already solved.
  Your task is to produce exactly one next subquestion that should be asked to continue solving the
  problem. Do not solve the full problem. Do not output anything except the next subquestion.
  Problem: A 1165 cm long rope is cut into 154 pieces. 150 of the pieces are equally sized and the remaining pieces are 100mm each. Find the length of each of the equal pieces in millimeters.  Given that we know the answer to the following questions: How many millimeters are in 1165 centimeters? How many pieces of the rope are 100 millimeters each? What is the total length of the 4 pieces that are 100 millimeters each?  Next subquestion:",What length of the rope is left after removing the 4 pieces that are 100 millimeters each?,What length of the rope is left after removing the 4 pieces that are 100 millimeters each?,What length of the rope is left after removing the 4 pieces that are 100 millimeters each?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
ffe94cb0f88dd6ac7bf7,09302ae93c575d5e,"Gunther just financed a John Deere tractor through the dealership.  If his monthly payment is $150.00 a month, for 5 years, with no interest, how much did he finance the tractor for?","You are given a math word problem.
  Your task is to produce the one subquestion you need to answer in order to solve the problem. Do not solve the full problem. Do not output anything except the subquestion.
  Problem: Gunther just financed a John Deere tractor through the dealership.  If his monthly payment is $150.00 a month, for 5 years, with no interest, how much did he finance the tractor for?  Only subquestion:",How many months is Gunther's loan for if it is 5 years long?,How many months is Gunther's loan for if it is 5 years long?,How many months is Gunther's loan for if it is 5 years long?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
aeb1af7f25c891b2c17e,f2cd02aef145c113,"Ed has 2 dogs, 3 cats and twice as many fish as cats and dogs combined. How many pets does Ed have in total?","You are given a math word problem and some intermediate reasoning steps that are already solved.
  Your task is to produce exactly one next subquestion that should be asked to continue solving the
  problem. Do not solve the full problem. Do not output anything except the next subquestion.
  Problem: Ed has 2 dogs, 3 cats and twice as many fish as cats and dogs combined. How many pets does Ed have in total?  Given that we know the answer to the following questions: How many pets does Ed have that are not fish?  Next subquestion:",How many fish does Ed have?,How many fish does Ed have?,How many fish does Ed have?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
b9aa776a66298632dc9e,eea3158081485262,"Giselle is in charge of the relay run on track and field day. Last year, the race was 300 meters. This year, it will be 4 times as long. Giselle needs to set up 6 tables for the relay run. The distance between the tables must be the same and the last table will be at the finish line. What is the distance between table 1 and table 3 in meters?","You are given a math word problem and some intermediate reasoning steps that are already solved.
  Your task is to produce exactly one next subquestion that should be asked to continue solving the
  problem. Do not solve the full problem. Do not output anything except the next subquestion.
  Problem: Giselle is in charge of the relay run on track and field day. Last year, the race was 300 meters. This year, it will be 4 times as long. Giselle needs to set up 6 tables for the relay run. The distance between the tables must be the same and the last table will be at the finish line. What is the distance between table 1 and table 3 in meters?  Given that we know the answer to the following questions: What is the total length of this year's relay run in meters?  Next subquestion:",What is the distance between each pair of consecutive tables in meters?,What is the distance between each pair of consecutive tables in meters?,What is the distance between each pair of consecutive tables in meters?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
feaee25ad4acee02a2be,1a5259f3674dd54a,"Jim’s bi-weekly gross pay is $1120.  He automatically has 25% of his paycheck go into his retirement account.  They also take $100.00 out of each paycheck for taxes.  After money is taken out for retirement and taxes, how much money will be on Jim’s paycheck?","You are given a math word problem and some intermediate reasoning steps that are already solved.
  Your task is to produce exactly one next subquestion that should be asked to continue solving the
  problem. Do not solve the full problem. Do not output anything except the next subquestion.
  Problem: Jim’s bi-weekly gross pay is $1120.  He automatically has 25% of his paycheck go into his retirement account.  They also take $100.00 out of each paycheck for taxes.  After money is taken out for retirement and taxes, how much money will be on Jim’s paycheck?  Given that we know the answer to the following questions: How much money is automatically enrolled into Jim's 401k from his paycheck?  Next subquestion:",How much money is left after 25% of Jim's paycheck is taken out for retirement?,How much money is left after 25% of Jim's paycheck is taken out for retirement?,How much money is left after 25% of Jim's paycheck is taken out for retirement?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
c2a4c9f7374a94f09d28,0e608d378fe8f449,John uses 5 liters of fuel per km to travel. How many liters of fuel should John plan to use if he plans to travel on two trips of 30 km and 20 km?,"You are given a math word problem and some intermediate reasoning steps that are already solved.
  Your task is to produce exactly one next subquestion that should be asked to continue solving the
  problem. Do not solve the full problem. Do not output anything except the next subquestion.
  Problem: John uses 5 liters of fuel per km to travel. How many liters of fuel should John plan to use if he plans to travel on two trips of 30 km and 20 km?  Given that we know the answer to the following questions: How many liters of fuel will John use for the second 20 km trip?  Next subquestion:",How many liters of fuel will John use for the first 30 km trip?,How many liters of fuel will John use for the first 30 km trip?,How many liters of fuel will John use for the first 30 km trip?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
bb2d98f1d8a5037f5548,ba43a3513b6098aa,"Joshua bought 25 oranges for $12.50. If he sells each one for 60c, how much profit in cents will he make on each orange?","You are given a math word problem and some intermediate reasoning steps that are already solved.
  Your task is to produce exactly one next subquestion that should be asked to continue solving the
  problem. Do not solve the full problem. Do not output anything except the next subquestion.
  Problem: Joshua bought 25 oranges for $12.50. If he sells each one for 60c, how much profit in cents will he make on each orange?  Given that we know the answer to the following questions: How many cents are equivalent to $12.50?  Next subquestion:",How much did each orange cost in cents?,How much did each orange cost in cents?,How much did each orange cost in cents?,gold_copy,gold,gold,gold,,,gold,,,1.0,YES,Exact copy of reference.,
