Loaded 7,473 train + 1,319 test = 8,792 total rows

Loading model: Qwen/Qwen2.5-7B-Instruct
Model loaded.

── Building next_subquestion_pairs_gsm8k_v2.csv ──
  [1/8792] Generating subquestions (2 steps)...
  [2/8792] Generating subquestions (2 steps)...
  [3/8792] Generating subquestions (3 steps)...
  [4/8792] Generating subquestions (4 steps)...
  [5/8792] Generating subquestions (3 steps)...
  [6/8792] Generating subquestions (5 steps)...
  [7/8792] Generating subquestions (3 steps)...
  [8/8792] Generating subquestions (3 steps)...
  [9/8792] Generating subquestions (2 steps)...
  [10/8792] Generating subquestions (7 steps)...
  [11/8792] Generating subquestions (2 steps)...
  [12/8792] Generating subquestions (5 steps)...
  [13/8792] Generating subquestions (3 steps)...
  [14/8792] Generating subquestions (3 steps)...
  [15/8792] Generating subquestions (2 steps)...
  [16/8792] Generating subquestions (6 steps)...
  [17/8792] Generating subquestions (3 steps)...
  [18/8792] Generating subquestions (6 steps)...
  [19/8792] Generating subquestions (5 steps)...
  [20/8792] Generating subquestions (4 steps)...
  [21/8792] Generating subquestions (3 steps)...
  [22/8792] Generating subquestions (3 steps)...
  [23/8792] Generating subquestions (2 steps)...
  [24/8792] Generating subquestions (4 steps)...
  [25/8792] Generating subquestions (2 steps)...
  [27/8792] Generating subquestions (2 steps)...
  [28/8792] Generating subquestions (5 steps)...
  [29/8792] Generating subquestions (2 steps)...
  [31/8792] Generating subquestions (5 steps)...
  [32/8792] Generating subquestions (4 steps)...
  [34/8792] Generating subquestions (3 steps)...
  [35/8792] Generating subquestions (2 steps)...
  [37/8792] Generating subquestions (3 steps)...
  [38/8792] Generating subquestions (5 steps)...
  [39/8792] Generating subquestions (2 steps)...
  [40/8792] Generating subquestions (2 steps)...
  [41/8792] Generating subquestions (6 steps)...
  [42/8792] Generating subquestions (3 steps)...
  [43/8792] Generating subquestions (5 steps)...
  [44/8792] Generating subquestions (4 steps)...
  [45/8792] Generating subquestions (3 steps)...
  [46/8792] Generating subquestions (4 steps)...
  [47/8792] Generating subquestions (4 steps)...
  [48/8792] Generating subquestions (4 steps)...
  [50/8792] Generating subquestions (2 steps)...
  [51/8792] Generating subquestions (4 steps)...
  [52/8792] Generating subquestions (4 steps)...
  [53/8792] Generating subquestions (3 steps)...
  [54/8792] Generating subquestions (2 steps)...
  [55/8792] Generating subquestions (4 steps)...
  [56/8792] Generating subquestions (3 steps)...
  [57/8792] Generating subquestions (4 steps)...
  [58/8792] Generating subquestions (6 steps)...
  [59/8792] Generating subquestions (5 steps)...
  [60/8792] Generating subquestions (2 steps)...
  [61/8792] Generating subquestions (5 steps)...
  [62/8792] Generating subquestions (5 steps)...
  [63/8792] Generating subquestions (4 steps)...
  [64/8792] Generating subquestions (3 steps)...
  [65/8792] Generating subquestions (6 steps)...
  [66/8792] Generating subquestions (3 steps)...
  [67/8792] Generating subquestions (6 steps)...
  [68/8792] Generating subquestions (8 steps)...
  [69/8792] Generating subquestions (4 steps)...
  [70/8792] Generating subquestions (2 steps)...
  [71/8792] Generating subquestions (2 steps)...
  [72/8792] Generating subquestions (2 steps)...
  [73/8792] Generating subquestions (2 steps)...
  [74/8792] Generating subquestions (2 steps)...
  [75/8792] Generating subquestions (3 steps)...
  [76/8792] Generating subquestions (5 steps)...
  [77/8792] Generating subquestions (3 steps)...
  [78/8792] Generating subquestions (2 steps)...
  [79/8792] Generating subquestions (3 steps)...
  [80/8792] Generating subquestions (2 steps)...
  [81/8792] Generating subquestions (3 steps)...
  [82/8792] Generating subquestions (6 steps)...
  [83/8792] Generating subquestions (3 steps)...
  [84/8792] Generating subquestions (6 steps)...
  [85/8792] Generating subquestions (2 steps)...
  [87/8792] Generating subquestions (2 steps)...
  [88/8792] Generating subquestions (3 steps)...
  [90/8792] Generating subquestions (3 steps)...
  [91/8792] Generating subquestions (3 steps)...
  [92/8792] Generating subquestions (3 steps)...
  [93/8792] Generating subquestions (5 steps)...
  [94/8792] Generating subquestions (4 steps)...
  [95/8792] Generating subquestions (2 steps)...
  [96/8792] Generating subquestions (7 steps)...
  [97/8792] Generating subquestions (3 steps)...
  [98/8792] Generating subquestions (2 steps)...
  [99/8792] Generating subquestions (3 steps)...
  [100/8792] Generating subquestions (5 steps)...
  [101/8792] Generating subquestions (3 steps)...
  [102/8792] Generating subquestions (2 steps)...
  [103/8792] Generating subquestions (2 steps)...
  [104/8792] Generating subquestions (6 steps)...
  [105/8792] Generating subquestions (2 steps)...
  [106/8792] Generating subquestions (2 steps)...
  [107/8792] Generating subquestions (2 steps)...
  [108/8792] Generating subquestions (6 steps)...
  [109/8792] Generating subquestions (5 steps)...
  [111/8792] Generating subquestions (3 steps)...
  [112/8792] Generating subquestions (3 steps)...
  [113/8792] Generating subquestions (4 steps)...
  [114/8792] Generating subquestions (4 steps)...
  [115/8792] Generating subquestions (3 steps)...
  [116/8792] Generating subquestions (2 steps)...
  [117/8792] Generating subquestions (5 steps)...
  [118/8792] Generating subquestions (4 steps)...
  [119/8792] Generating subquestions (2 steps)...
  [120/8792] Generating subquestions (2 steps)...
  [121/8792] Generating subquestions (3 steps)...
  [122/8792] Generating subquestions (7 steps)...
  [123/8792] Generating subquestions (3 steps)...
  [125/8792] Generating subquestions (2 steps)...
  [126/8792] Generating subquestions (2 steps)...
  [127/8792] Generating subquestions (2 steps)...
  [128/8792] Generating subquestions (4 steps)...
  [129/8792] Generating subquestions (2 steps)...
  [130/8792] Generating subquestions (2 steps)...
  [131/8792] Generating subquestions (4 steps)...
  [132/8792] Generating subquestions (4 steps)...
  [133/8792] Generating subquestions (2 steps)...
  [134/8792] Generating subquestions (4 steps)...
  [135/8792] Generating subquestions (5 steps)...
  [137/8792] Generating subquestions (4 steps)...
  [138/8792] Generating subquestions (4 steps)...
  [139/8792] Generating subquestions (4 steps)...
  [140/8792] Generating subquestions (3 steps)...
  [141/8792] Generating subquestions (5 steps)...
  [142/8792] Generating subquestions (3 steps)...
  [143/8792] Generating subquestions (3 steps)...
  [144/8792] Generating subquestions (3 steps)...
  [145/8792] Generating subquestions (5 steps)...
  [146/8792] Generating subquestions (5 steps)...
  [147/8792] Generating subquestions (4 steps)...
  [148/8792] Generating subquestions (3 steps)...
  [149/8792] Generating subquestions (3 steps)...
  [150/8792] Generating subquestions (3 steps)...
  [152/8792] Generating subquestions (2 steps)...
  [153/8792] Generating subquestions (2 steps)...
  [154/8792] Generating subquestions (4 steps)...
  [155/8792] Generating subquestions (3 steps)...
  [156/8792] Generating subquestions (3 steps)...
