trajectory_bin,n,reward_rate,exact_rate,judge_rate,no_question_rate
0,9067,0.16587625454946509,0.07610014337708172,0.08977611117238336,0.019741921252895114
1,9067,0.1865004963052829,0.09518032425278482,0.09132017205249807,0.011580456600860262
2,9066,0.18773439223472313,0.09960291197882197,0.08813148025590117,0.010919920582395765
3,9067,0.17105988750413587,0.08878350060659534,0.08227638689754053,0.007058564023381494
4,9066,0.2056033531877344,0.09519082285462166,0.11041253033311273,0.00727994705493051
5,9067,0.19775008271754715,0.11095180324252785,0.08679827947501931,0.008051174589169516
6,9067,0.19036064850556964,0.10521671997353038,0.08514392853203927,0.008271754714900187
7,9066,0.20538274873152437,0.10798588131480256,0.09739686741672182,0.00772115596735054
8,9067,0.19830153303187384,0.10455497959633837,0.09374655343553547,0.007279144149112165
9,9066,0.20086035737921906,0.10247076990955217,0.09838958746966689,0.006507831458195456
10,9067,0.20701444799823535,0.09859931620161023,0.10841513179662512,0.007279144149112165
11,9067,0.2105437300099261,0.10654020072791441,0.10400352928201169,0.007499724274842837
